"Feature","Description"
"MEDICAID_REV_023","Revenue code for 'Incremental Nursing Charge'"
"MEDICAID_REV_024","Revenue code for 'All-inclusive Ancillary'"
"MEDICAID_REV_025","Revenue code for 'Pharmacy'"
"MEDICAID_REV_026","Revenue code for 'IV Therapy'"
"MEDICAID_REV_027","Revenue code for 'Medical/Surgical Supplies and Devices'"
"MEDICAID_REV_028","Revenue code for 'Oncology'"
"MEDICAID_REV_029","Revenue code for 'Durable Medical Equipment'"
"MEDICAID_REV_030","Revenue code for 'Laboratory'"
"MEDICAID_REV_031","Revenue code for 'Laboratory Pathology'"
"MEDICAID_REV_032","Revenue code for 'Radiology Diagnostic'"
"MEDICAID_REV_033","Revenue code for 'Radiology Therapeutic and/or Chemotherapy'"
"MEDICAID_REV_034","Revenue code for 'Nuclear Medicine'"
"MEDICAID_REV_035","Revenue code for 'CT Scan'"
"MEDICAID_REV_036","Revenue code for 'Operating Room'"
"MEDICAID_REV_037","Revenue code for 'Anesthesia'"
"MEDICAID_REV_038","Revenue code for 'Blood and Blood Products'"
"MEDICAID_REV_039","Revenue code for 'Blood and Blood Components'"
"MEDICAID_REV_040","Revenue code for 'Other Imaging Services'"
"MEDICAID_REV_041","Revenue code for 'Respiratory Services'"
"MEDICAID_REV_042","Revenue code for 'Physical Therapy'"
"MEDICAID_REV_043","Revenue code for 'Occupational Therapy'"
"MEDICAID_REV_044","Revenue code for 'Speech Therapy'"
"MEDICAID_REV_045","Revenue code for 'Emergency Room'"
"MEDICAID_REV_046","Revenue code for 'Pulmonary Function'"
"MEDICAID_REV_047","Revenue code for 'Audiology'"
"MEDICAID_REV_048","Revenue code for 'Cardiology'"
"MEDICAID_REV_049","Revenue code for 'Ambulatory Surgical Care'"
"MEDICAID_REV_050","Revenue code for 'Outpatient Services'"
"MEDICAID_REV_051","Revenue code for 'Clinic'"
"MEDICAID_REV_052","Revenue code for 'Freestanding Clinic'"
"MEDICAID_REV_053","Revenue code for 'Osteopathic Services'"
"MEDICAID_REV_054","Revenue code for 'Ambulance'"
"MEDICAID_REV_055","Revenue code for 'Skilled Nursing'"
"MEDICAID_REV_056","Revenue code for 'Home Health'"
"MEDICAID_REV_057","Revenue code for 'Home Health - Aide'"
"MEDICAID_REV_058","Revenue code for 'Home Health - Other'"
"MEDICAID_REV_059","Revenue code for 'Home Health - Units'"
"MEDICAID_REV_060","Revenue code for 'Home Health - Oxygen'"
"MEDICAID_REV_061","Revenue code for 'Magnetic Resonance Technology'"
"MEDICAID_REV_062","Revenue code for 'Medical/Surgical Supplies'"
"MEDICAID_REV_063","Revenue code for 'Pharmacy'"
"MEDICAID_REV_064","Revenue code for 'Home IV Therapy'"
"MEDICAID_REV_065","Revenue code for 'Hospice '"
"MEDICAID_REV_066","Revenue code for 'Respite Care'"
"MEDICAID_REV_068","Revenue code for 'Trauma Response'"
"MEDICAID_REV_070","Revenue code for 'Cast Room'"
"MEDICAID_REV_071","Revenue code for 'Recovery Room'"
"MEDICAID_REV_072","Revenue code for 'Labor Room/Delivery'"
"MEDICAID_REV_073","Revenue code for 'Electrocardiogram'"
"MEDICAID_REV_074","Revenue code for 'Electroencephalogram'"
"MEDICAID_REV_075","Revenue code for 'Gastrointestinal Services'"
"MEDICAID_REV_076","Revenue code for 'Specialty Services'"
"MEDICAID_REV_077","Revenue code for 'Preventive Services'"
"MEDICAID_REV_079","Revenue code for 'Lithotripsy'"
"MEDICAID_REV_080","Revenue code for 'Inpatient Renal Dialysis'"
"MEDICAID_REV_081","Revenue code for 'Acquisition of Body Components'"
"MEDICAID_REV_082","Revenue code for 'Hemodialysis'"
"MEDICAID_REV_083","Revenue code for 'Peritoneal Dialysis'"
"MEDICAID_REV_084","Revenue code for 'Continuous Ambulatory Peritoneal Dialysis'"
"MEDICAID_REV_085","Revenue code for 'Continuous Cycling Peritoneal Dialysis'"
"MEDICAID_REV_086","Revenue code for 'Magnetoencephalography'"
"MEDICAID_REV_088","Revenue code for 'Miscellaneous Dialysis'"
"MEDICAID_REV_090","Revenue code for 'Behavioral Health'"
"MEDICAID_REV_091","Revenue code for 'Behavioral Health'"
"MEDICAID_REV_092","Revenue code for 'Other Diagnostic Services'"
"MEDICAID_REV_093","Revenue code for 'Medical Rehabilitation Day Program'"
"MEDICAID_REV_094","Revenue code for 'Other Therapeutic Services'"
"MEDICAID_REV_095","Revenue code for 'Other Therapeutic Services'"
"MEDICAID_REV_096","Revenue code for 'Professional Fees'"
"MEDICAID_REV_097","Revenue code for 'Professional Fees'"
"MEDICAID_REV_098","Revenue code for 'Professional Fees'"
"MEDICAID_REV_099","Revenue code for 'Patient Convenience Items'"
"MEDICAID_REV_100","Revenue code for 'Behavioral Health Accommodations'"
"MEDICAID_REV_310","Revenue code for 'Adult Care'"
"MEDICAID_DISEASE_SCORE","Number of AHRQ CCS diseases"
"MEDICAID_CHRONIC_SCORE","Number of AHRQ CCI chronic conditions"
"MEDICAID_PROCEDURES","Number of distinct procedures"
"MEDICAID_DISEASE_SCORE_SQ","Squared number of AHRQ CCS diseases"
"MEDICAID_CHRONIC_SCORE_SQ","Squared number of AHRQ CCI chronic conditions"
"MEDICAID_PROCEDURES_SQ","Squared number of distinct procedures"
"GEOCODED","Has a geocoded home address"
"BLKGRP_MEDIANINCOME","Block group's median annual household income (2015 dollars)"
"BLKGRP_BELOWFPL","Share of block group below poverty line"
"DHS_HH_BIRTH","New birth in the DHS household"
"AGE_1","Age is 18-23"
"AGE_2","Age is 24-29"
"AGE_3","Age is 30-39"
"AGE_4","Age is 40-54"
"AGE_5","Age is 55-64"
"AGE_6","Age is 65+"
"BMI_UNDER","Body mass index is underweight"
"BMI_OVER","Body mass index is overweight"
"BMI_OBESE","Body mass index is obese"
"BMI_MISSING","Body mass index is missing"
"MARRIED","Married"
"MARRIED_MISSING","Marital status is missing"
"RACE_BLACK","Race is African American"
"RACE_HISPANIC","Ethnicity is Hispanic"
"RACE_OTHER","Race is Asian, Native American, or other"
"RACE_MISSING","Race is missing"
"SNAP_PAYMENTS","Average monthly SNAP payments"
"TANF_PAYMENTS","Average monthly TANF payments"
"TDI_PAYMENTS","Average monthly TDI payments"
"UI_PAYMENTS","Average monthly UI payments"
"SNAP","Received SNAP"
"TANF","Received TANF"
"TDI","Received TDI"
"UI","Received UI"
"AGE_1_X_RACE_BLACK","'Age is 18-23' X 'Race is African American'"
"AGE_1_X_RACE_HISPANIC","'Age is 18-23' X 'Ethnicity is Hispanic'"
"AGE_1_X_RACE_OTHER","'Age is 18-23' X 'Race is Asian, Native American, or other'"
"AGE_1_X_RACE_MISSING","'Age is 18-23' X 'Race is missing'"
"AGE_2_X_RACE_BLACK","'Age is 24-29' X 'Race is African American'"
"AGE_2_X_RACE_HISPANIC","'Age is 24-29' X 'Ethnicity is Hispanic'"
"AGE_2_X_RACE_OTHER","'Age is 24-29' X 'Race is Asian, Native American, or other'"
"AGE_2_X_RACE_MISSING","'Age is 24-29' X 'Race is missing'"
"AGE_3_X_RACE_BLACK","'Age is 30-39' X 'Race is African American'"
"AGE_3_X_RACE_HISPANIC","'Age is 30-39' X 'Ethnicity is Hispanic'"
"AGE_3_X_RACE_OTHER","'Age is 30-39' X 'Race is Asian, Native American, or other'"
"AGE_3_X_RACE_MISSING","'Age is 30-39' X 'Race is missing'"
"AGE_4_X_RACE_BLACK","'Age is 40-54' X 'Race is African American'"
"AGE_4_X_RACE_HISPANIC","'Age is 40-54' X 'Ethnicity is Hispanic'"
"AGE_4_X_RACE_OTHER","'Age is 40-54' X 'Race is Asian, Native American, or other'"
"AGE_4_X_RACE_MISSING","'Age is 40-54' X 'Race is missing'"
"AGE_5_X_RACE_BLACK","'Age is 55-64' X 'Race is African American'"
"AGE_5_X_RACE_HISPANIC","'Age is 55-64' X 'Ethnicity is Hispanic'"
"AGE_5_X_RACE_OTHER","'Age is 55-64' X 'Race is Asian, Native American, or other'"
"AGE_5_X_RACE_MISSING","'Age is 55-64' X 'Race is missing'"
"AGE_6_X_RACE_BLACK","'Age is 65+' X 'Race is African American'"
"AGE_6_X_RACE_HISPANIC","'Age is 65+' X 'Ethnicity is Hispanic'"
"AGE_6_X_RACE_OTHER","'Age is 65+' X 'Race is Asian, Native American, or other'"
"AGE_6_X_RACE_MISSING","'Age is 65+' X 'Race is missing'"
"AGE_1_X_SEX_M","'Age is 18-23' X 'Sex is male'"
"AGE_2_X_SEX_M","'Age is 24-29' X 'Sex is male'"
"AGE_3_X_SEX_M","'Age is 30-39' X 'Sex is male'"
"AGE_4_X_SEX_M","'Age is 40-54' X 'Sex is male'"
"AGE_5_X_SEX_M","'Age is 55-64' X 'Sex is male'"
"AGE_6_X_SEX_M","'Age is 65+' X 'Sex is male'"
"RACE_BLACK_X_SEX_M","'Race is African American' X 'Sex is male'"
"RACE_HISPANIC_X_SEX_M","'Ethnicity is Hispanic' X 'Sex is male'"
"RACE_OTHER_X_SEX_M","'Race is Asian, Native American, or other' X 'Sex is male'"
"RACE_MISSING_X_SEX_M","'Race is missing' X 'Sex is male'"
"GEOCODED_X_SEX_M","'Has a geocoded home address' X 'Sex is male'"
"GEOCODED_X_LANG_SPANISH","'Has a geocoded home address' X 'Primary language is Spanish'"
"GEOCODED_X_LANG_PORTU","'Has a geocoded home address' X 'Primary language is Portuguese'"
"GEOCODED_X_LANG_OTHER","'Has a geocoded home address' X 'Primary language is not English, Spanish, or Portuguese'"
"GEOCODED_X_AGE_1","'Has a geocoded home address' X 'Age is 18-23'"
"GEOCODED_X_AGE_2","'Has a geocoded home address' X 'Age is 24-29'"
"GEOCODED_X_AGE_3","'Has a geocoded home address' X 'Age is 30-39'"
"GEOCODED_X_AGE_4","'Has a geocoded home address' X 'Age is 40-54'"
"GEOCODED_X_AGE_5","'Has a geocoded home address' X 'Age is 55-64'"
"GEOCODED_X_AGE_6","'Has a geocoded home address' X 'Age is 65+'"
"GEOCODED_X_BMI_UNDER","'Has a geocoded home address' X 'Body mass index is underweight'"
"GEOCODED_X_BMI_OVER","'Has a geocoded home address' X 'Body mass index is overweight'"
"GEOCODED_X_BMI_OBESE","'Has a geocoded home address' X 'Body mass index is obese'"
"GEOCODED_X_BMI_MISSING","'Has a geocoded home address' X 'Body mass index is missing'"
"GEOCODED_X_MARRIED","'Has a geocoded home address' X 'Married'"
"GEOCODED_X_MARRIED_MISSING","'Has a geocoded home address' X 'Marital status is missing'"
"GEOCODED_X_RACE_BLACK","'Has a geocoded home address' X 'Race is African American'"
"GEOCODED_X_RACE_HISPANIC","'Has a geocoded home address' X 'Ethnicity is Hispanic'"
"GEOCODED_X_RACE_OTHER","'Has a geocoded home address' X 'Race is Asian, Native American, or other'"
"GEOCODED_X_RACE_MISSING","'Has a geocoded home address' X 'Race is missing'"
"BLKGRP_MEDIANINCOME_X_SEX_M","'Block group's median annual household income (2015 dollars)' X 'Sex is male'"
"BLKGRP_MEDIANINCOME_X_LANG_SPANISH","'Block group's median annual household income (2015 dollars)' X 'Primary language is Spanish'"
"BLKGRP_MEDIANINCOME_X_LANG_PORTU","'Block group's median annual household income (2015 dollars)' X 'Primary language is Portuguese'"
"BLKGRP_MEDIANINCOME_X_LANG_OTHER","'Block group's median annual household income (2015 dollars)' X 'Primary language is not English, Spanish, or Portuguese'"
"BLKGRP_MEDIANINCOME_X_AGE_1","'Block group's median annual household income (2015 dollars)' X 'Age is 18-23'"
"BLKGRP_MEDIANINCOME_X_AGE_2","'Block group's median annual household income (2015 dollars)' X 'Age is 24-29'"
"BLKGRP_MEDIANINCOME_X_AGE_3","'Block group's median annual household income (2015 dollars)' X 'Age is 30-39'"
"BLKGRP_MEDIANINCOME_X_AGE_4","'Block group's median annual household income (2015 dollars)' X 'Age is 40-54'"
"BLKGRP_MEDIANINCOME_X_AGE_5","'Block group's median annual household income (2015 dollars)' X 'Age is 55-64'"
"BLKGRP_MEDIANINCOME_X_AGE_6","'Block group's median annual household income (2015 dollars)' X 'Age is 65+'"
"BLKGRP_MEDIANINCOME_X_BMI_UNDER","'Block group's median annual household income (2015 dollars)' X 'Body mass index is underweight'"
"BLKGRP_MEDIANINCOME_X_BMI_OVER","'Block group's median annual household income (2015 dollars)' X 'Body mass index is overweight'"
"BLKGRP_MEDIANINCOME_X_BMI_OBESE","'Block group's median annual household income (2015 dollars)' X 'Body mass index is obese'"
"BLKGRP_MEDIANINCOME_X_BMI_MISSING","'Block group's median annual household income (2015 dollars)' X 'Body mass index is missing'"
"BLKGRP_MEDIANINCOME_X_MARRIED","'Block group's median annual household income (2015 dollars)' X 'Married'"
"BLKGRP_MEDIANINCOME_X_MARRIED_MISSING","'Block group's median annual household income (2015 dollars)' X 'Marital status is missing'"
"BLKGRP_MEDIANINCOME_X_RACE_BLACK","'Block group's median annual household income (2015 dollars)' X 'Race is African American'"
"BLKGRP_MEDIANINCOME_X_RACE_HISPANIC","'Block group's median annual household income (2015 dollars)' X 'Ethnicity is Hispanic'"
"BLKGRP_MEDIANINCOME_X_RACE_OTHER","'Block group's median annual household income (2015 dollars)' X 'Race is Asian, Native American, or other'"
"BLKGRP_MEDIANINCOME_X_RACE_MISSING","'Block group's median annual household income (2015 dollars)' X 'Race is missing'"
"BLKGRP_BELOWFPL_X_SEX_M","'Share of block group below poverty line' X 'Sex is male'"
"BLKGRP_BELOWFPL_X_LANG_SPANISH","'Share of block group below poverty line' X 'Primary language is Spanish'"
"BLKGRP_BELOWFPL_X_LANG_PORTU","'Share of block group below poverty line' X 'Primary language is Portuguese'"
"BLKGRP_BELOWFPL_X_LANG_OTHER","'Share of block group below poverty line' X 'Primary language is not English, Spanish, or Portuguese'"
"BLKGRP_BELOWFPL_X_AGE_1","'Share of block group below poverty line' X 'Age is 18-23'"
"BLKGRP_BELOWFPL_X_AGE_2","'Share of block group below poverty line' X 'Age is 24-29'"
"BLKGRP_BELOWFPL_X_AGE_3","'Share of block group below poverty line' X 'Age is 30-39'"
"BLKGRP_BELOWFPL_X_AGE_4","'Share of block group below poverty line' X 'Age is 40-54'"
"BLKGRP_BELOWFPL_X_AGE_5","'Share of block group below poverty line' X 'Age is 55-64'"
"BLKGRP_BELOWFPL_X_AGE_6","'Share of block group below poverty line' X 'Age is 65+'"
"BLKGRP_BELOWFPL_X_BMI_UNDER","'Share of block group below poverty line' X 'Body mass index is underweight'"
"BLKGRP_BELOWFPL_X_BMI_OVER","'Share of block group below poverty line' X 'Body mass index is overweight'"
"BLKGRP_BELOWFPL_X_BMI_OBESE","'Share of block group below poverty line' X 'Body mass index is obese'"
"BLKGRP_BELOWFPL_X_BMI_MISSING","'Share of block group below poverty line' X 'Body mass index is missing'"
"BLKGRP_BELOWFPL_X_MARRIED","'Share of block group below poverty line' X 'Married'"
"BLKGRP_BELOWFPL_X_MARRIED_MISSING","'Share of block group below poverty line' X 'Marital status is missing'"
"BLKGRP_BELOWFPL_X_RACE_BLACK","'Share of block group below poverty line' X 'Race is African American'"
"BLKGRP_BELOWFPL_X_RACE_HISPANIC","'Share of block group below poverty line' X 'Ethnicity is Hispanic'"
"BLKGRP_BELOWFPL_X_RACE_OTHER","'Share of block group below poverty line' X 'Race is Asian, Native American, or other'"
"BLKGRP_BELOWFPL_X_RACE_MISSING","'Share of block group below poverty line' X 'Race is missing'"
"SNAP_PAYMENTS_X_RI_UNEMPLOYMENT","'Average monthly SNAP payments' X 'Average Rhode Island unemployment rate'"
"SNAP_PAYMENTS_X_NAICS_UNEMPLOYMENT","'Average monthly SNAP payments' X 'National annual unemployment rate for worker's industry'"
"SNAP_PAYMENTS_X_UI_EXHAUSTION","'Average monthly SNAP payments' X 'Exhausted UI benefits'"
"SNAP_PAYMENTS_X_WAGES","'Average monthly SNAP payments' X 'Wages in previous quarter'"
"SNAP_PAYMENTS_X_EMPLOYERS","'Average monthly SNAP payments' X 'Number of employers in previous quarter'"
"SNAP_PAYMENTS_X_HAS_WAGES","'Average monthly SNAP payments' X 'Has Rhode Island wages in previous quarter'"
"SNAP_PAYMENTS_X_DOC_COMMITED","'Average monthly SNAP payments' X 'Committed to a corrections facility'"
"SNAP_PAYMENTS_X_DOC_RELEASED","'Average monthly SNAP payments' X 'Released from a corrections facility'"
"SNAP_PAYMENTS_X_DOC_CHARGED","'Average monthly SNAP payments' X 'Charged with a crime'"
"SNAP_PAYMENTS_X_MEDICAID_INST_PAY","'Average monthly SNAP payments' X 'Average monthly medical payments to institutions'"
"SNAP_PAYMENTS_X_MEDICAID_PROF_PAY","'Average monthly SNAP payments' X 'Average monthly medical payments to professionals'"
"SNAP_PAYMENTS_X_MEDICAID_NURS_PAY","'Average monthly SNAP payments' X 'Average monthly medical payments to nursing homes'"
"SNAP_PAYMENTS_X_MEDICAID_INST_BILL","'Average monthly SNAP payments' X 'Average monthly medical bills from institutions'"
"SNAP_PAYMENTS_X_MEDICAID_PROF_BILL","'Average monthly SNAP payments' X 'Average monthly medical bills from professionals'"
"SNAP_PAYMENTS_X_MEDICAID_NURS_BILL","'Average monthly SNAP payments' X 'Average monthly medical bills from nursing homes'"
"SNAP_PAYMENTS_X_MEDICAID_INST_VISITS","'Average monthly SNAP payments' X 'Average monthly medical visits to institutions'"
"SNAP_PAYMENTS_X_MEDICAID_PROF_VISITS","'Average monthly SNAP payments' X 'Average monthly medical visits to professionals'"
"SNAP_PAYMENTS_X_MEDICAID_NURS_VISITS","'Average monthly SNAP payments' X 'Average monthly medical visits to nursing homes'"
"SNAP_PAYMENTS_X_MEDICAID_ED_PAY","'Average monthly SNAP payments' X 'Average monthly ED payments'"
"SNAP_PAYMENTS_X_MEDICAID_ED_PC_PAY","'Average monthly SNAP payments' X 'Average monthly PC-treatable ED payments'"
"SNAP_PAYMENTS_X_MEDICAID_ED_BILL","'Average monthly SNAP payments' X 'Average monthly ED bills'"
"SNAP_PAYMENTS_X_MEDICAID_ED_PC_BILL","'Average monthly SNAP payments' X 'Average monthly PC-treatable ED bills'"
"SNAP_PAYMENTS_X_MEDICAID_ED_VISITS","'Average monthly SNAP payments' X 'Average monthly ED visits'"
"SNAP_PAYMENTS_X_MEDICAID_ED_PC_VISITS","'Average monthly SNAP payments' X 'Average monthly PC-tretable ED visits'"
"SNAP_PAYMENTS_X_MEDICAID_RX_COST","'Average monthly SNAP payments' X 'Average monthly pharmcy costs'"
"SNAP_PAYMENTS_X_MEDICAID_RX_DRUGS","'Average monthly SNAP payments' X 'Average monthly number of prescription drugs'"
"SNAP_PAYMENTS_X_SEX_M","'Average monthly SNAP payments' X 'Sex is male'"
"SNAP_PAYMENTS_X_LANG_SPANISH","'Average monthly SNAP payments' X 'Primary language is Spanish'"
"SNAP_PAYMENTS_X_LANG_PORTU","'Average monthly SNAP payments' X 'Primary language is Portuguese'"
"SNAP_PAYMENTS_X_LANG_OTHER","'Average monthly SNAP payments' X 'Primary language is not English, Spanish, or Portuguese'"
"SNAP_PAYMENTS_X_MEDICAID_N_IDS","'Average monthly SNAP payments' X 'Number of unique Medicaid IDs'"
"SNAP_PAYMENTS_X_MEDICAID_PREGNANT","'Average monthly SNAP payments' X 'Medicaid eligibility contains 'pregnant''"
"SNAP_PAYMENTS_X_MEDICAID_POSTPARTUM","'Average monthly SNAP payments' X 'Medicaid eligibility contains 'postpartum''"
"SNAP_PAYMENTS_X_MEDICAID_BLIND","'Average monthly SNAP payments' X 'Medicaid eligibility contains 'blind''"
"SNAP_PAYMENTS_X_MEDICAID_DISABLED","'Average monthly SNAP payments' X 'Medicaid eligibility contains 'disabled''"
"SNAP_PAYMENTS_X_MEDICAID_ALIEN","'Average monthly SNAP payments' X 'Medicaid eligibility contains 'alien''"
"SNAP_PAYMENTS_X_MEDICAID_CHILD","'Average monthly SNAP payments' X 'Medicaid eligibility contains 'child''"
"SNAP_PAYMENTS_X_MEDICAID_MED_NEEDY","'Average monthly SNAP payments' X 'Medicaid eligibility as medically needy'"
"SNAP_PAYMENTS_X_MEDICAID_MANAGED_CARE","'Average monthly SNAP payments' X 'Enrolled in Medicaid managed care'"
"SNAP_PAYMENTS_X_MEDICAID_PREM_PAYMENT","'Average monthly SNAP payments' X 'Enrolled in Medicaid premium payment plan'"
"SNAP_PAYMENTS_X_MEDICAID_PAYER_CMAP","'Average monthly SNAP payments' X 'Enrolled in RI Community Medication Assistance Program'"
"SNAP_PAYMENTS_X_MEDICAID_PAYER_DOC","'Average monthly SNAP payments' X 'Medicaid payer code is Department of Corrections'"
"SNAP_PAYMENTS_X_MEDICAID_PAYER_AIDS","'Average monthly SNAP payments' X 'Medicaid payer code is Ryan White AIDS Drug Assistance Program'"
"SNAP_PAYMENTS_X_MEDICAID_PAYER_ORS","'Average monthly SNAP payments' X 'Medicaid payer code is ORS'"
"SNAP_PAYMENTS_X_MEDICAID_PAYER_RIPAE","'Average monthly SNAP payments' X 'Enrolled in RI Pharmaceutical Assistance to the Elderly'"
"SNAP_PAYMENTS_X_DHS_HH_BIRTH","'Average monthly SNAP payments' X 'New birth in the DHS household'"
"SNAP_PAYMENTS_X_GEOCODED","'Average monthly SNAP payments' X 'Has a geocoded home address'"
"SNAP_PAYMENTS_X_BLKGRP_MEDIANINCOME","'Average monthly SNAP payments' X 'Block group's median annual household income (2015 dollars)'"
"SNAP_PAYMENTS_X_BLKGRP_BELOWFPL","'Average monthly SNAP payments' X 'Share of block group below poverty line'"
"SNAP_PAYMENTS_X_AGE_1","'Average monthly SNAP payments' X 'Age is 18-23'"
"SNAP_PAYMENTS_X_AGE_2","'Average monthly SNAP payments' X 'Age is 24-29'"
"SNAP_PAYMENTS_X_AGE_3","'Average monthly SNAP payments' X 'Age is 30-39'"
"SNAP_PAYMENTS_X_AGE_4","'Average monthly SNAP payments' X 'Age is 40-54'"
"SNAP_PAYMENTS_X_AGE_5","'Average monthly SNAP payments' X 'Age is 55-64'"
"SNAP_PAYMENTS_X_AGE_6","'Average monthly SNAP payments' X 'Age is 65+'"
"SNAP_PAYMENTS_X_BMI_UNDER","'Average monthly SNAP payments' X 'Body mass index is underweight'"
"SNAP_PAYMENTS_X_BMI_OVER","'Average monthly SNAP payments' X 'Body mass index is overweight'"
"SNAP_PAYMENTS_X_BMI_OBESE","'Average monthly SNAP payments' X 'Body mass index is obese'"
"SNAP_PAYMENTS_X_BMI_MISSING","'Average monthly SNAP payments' X 'Body mass index is missing'"
"SNAP_PAYMENTS_X_MARRIED","'Average monthly SNAP payments' X 'Married'"
"SNAP_PAYMENTS_X_MARRIED_MISSING","'Average monthly SNAP payments' X 'Marital status is missing'"
"SNAP_PAYMENTS_X_RACE_BLACK","'Average monthly SNAP payments' X 'Race is African American'"
"SNAP_PAYMENTS_X_RACE_HISPANIC","'Average monthly SNAP payments' X 'Ethnicity is Hispanic'"
"SNAP_PAYMENTS_X_RACE_OTHER","'Average monthly SNAP payments' X 'Race is Asian, Native American, or other'"
"SNAP_PAYMENTS_X_RACE_MISSING","'Average monthly SNAP payments' X 'Race is missing'"
"TANF_PAYMENTS_X_RI_UNEMPLOYMENT","'Average monthly TANF payments' X 'Average Rhode Island unemployment rate'"
"TANF_PAYMENTS_X_NAICS_UNEMPLOYMENT","'Average monthly TANF payments' X 'National annual unemployment rate for worker's industry'"
"TANF_PAYMENTS_X_UI_EXHAUSTION","'Average monthly TANF payments' X 'Exhausted UI benefits'"
"TANF_PAYMENTS_X_WAGES","'Average monthly TANF payments' X 'Wages in previous quarter'"
"TANF_PAYMENTS_X_EMPLOYERS","'Average monthly TANF payments' X 'Number of employers in previous quarter'"
"TANF_PAYMENTS_X_HAS_WAGES","'Average monthly TANF payments' X 'Has Rhode Island wages in previous quarter'"
"TANF_PAYMENTS_X_DOC_COMMITED","'Average monthly TANF payments' X 'Committed to a corrections facility'"
"TANF_PAYMENTS_X_DOC_RELEASED","'Average monthly TANF payments' X 'Released from a corrections facility'"
"TANF_PAYMENTS_X_DOC_CHARGED","'Average monthly TANF payments' X 'Charged with a crime'"
"TANF_PAYMENTS_X_MEDICAID_INST_PAY","'Average monthly TANF payments' X 'Average monthly medical payments to institutions'"
"TANF_PAYMENTS_X_MEDICAID_PROF_PAY","'Average monthly TANF payments' X 'Average monthly medical payments to professionals'"
"TANF_PAYMENTS_X_MEDICAID_NURS_PAY","'Average monthly TANF payments' X 'Average monthly medical payments to nursing homes'"
"TANF_PAYMENTS_X_MEDICAID_INST_BILL","'Average monthly TANF payments' X 'Average monthly medical bills from institutions'"
"TANF_PAYMENTS_X_MEDICAID_PROF_BILL","'Average monthly TANF payments' X 'Average monthly medical bills from professionals'"
"TANF_PAYMENTS_X_MEDICAID_NURS_BILL","'Average monthly TANF payments' X 'Average monthly medical bills from nursing homes'"
"TANF_PAYMENTS_X_MEDICAID_INST_VISITS","'Average monthly TANF payments' X 'Average monthly medical visits to institutions'"
"TANF_PAYMENTS_X_MEDICAID_PROF_VISITS","'Average monthly TANF payments' X 'Average monthly medical visits to professionals'"
"TANF_PAYMENTS_X_MEDICAID_NURS_VISITS","'Average monthly TANF payments' X 'Average monthly medical visits to nursing homes'"
"TANF_PAYMENTS_X_MEDICAID_ED_PAY","'Average monthly TANF payments' X 'Average monthly ED payments'"
"TANF_PAYMENTS_X_MEDICAID_ED_PC_PAY","'Average monthly TANF payments' X 'Average monthly PC-treatable ED payments'"
"TANF_PAYMENTS_X_MEDICAID_ED_BILL","'Average monthly TANF payments' X 'Average monthly ED bills'"
"TANF_PAYMENTS_X_MEDICAID_ED_PC_BILL","'Average monthly TANF payments' X 'Average monthly PC-treatable ED bills'"
"TANF_PAYMENTS_X_MEDICAID_ED_VISITS","'Average monthly TANF payments' X 'Average monthly ED visits'"
"TANF_PAYMENTS_X_MEDICAID_ED_PC_VISITS","'Average monthly TANF payments' X 'Average monthly PC-tretable ED visits'"
"TANF_PAYMENTS_X_MEDICAID_RX_COST","'Average monthly TANF payments' X 'Average monthly pharmcy costs'"
"TANF_PAYMENTS_X_MEDICAID_RX_DRUGS","'Average monthly TANF payments' X 'Average monthly number of prescription drugs'"
"TANF_PAYMENTS_X_SEX_M","'Average monthly TANF payments' X 'Sex is male'"
"TANF_PAYMENTS_X_LANG_SPANISH","'Average monthly TANF payments' X 'Primary language is Spanish'"
"TANF_PAYMENTS_X_LANG_PORTU","'Average monthly TANF payments' X 'Primary language is Portuguese'"
"TANF_PAYMENTS_X_LANG_OTHER","'Average monthly TANF payments' X 'Primary language is not English, Spanish, or Portuguese'"
"TANF_PAYMENTS_X_MEDICAID_N_IDS","'Average monthly TANF payments' X 'Number of unique Medicaid IDs'"
"TANF_PAYMENTS_X_MEDICAID_PREGNANT","'Average monthly TANF payments' X 'Medicaid eligibility contains 'pregnant''"
"TANF_PAYMENTS_X_MEDICAID_POSTPARTUM","'Average monthly TANF payments' X 'Medicaid eligibility contains 'postpartum''"
"TANF_PAYMENTS_X_MEDICAID_BLIND","'Average monthly TANF payments' X 'Medicaid eligibility contains 'blind''"
"TANF_PAYMENTS_X_MEDICAID_DISABLED","'Average monthly TANF payments' X 'Medicaid eligibility contains 'disabled''"
"TANF_PAYMENTS_X_MEDICAID_ALIEN","'Average monthly TANF payments' X 'Medicaid eligibility contains 'alien''"
"TANF_PAYMENTS_X_MEDICAID_CHILD","'Average monthly TANF payments' X 'Medicaid eligibility contains 'child''"
"TANF_PAYMENTS_X_MEDICAID_MED_NEEDY","'Average monthly TANF payments' X 'Medicaid eligibility as medically needy'"
"TANF_PAYMENTS_X_MEDICAID_MANAGED_CARE","'Average monthly TANF payments' X 'Enrolled in Medicaid managed care'"
"TANF_PAYMENTS_X_MEDICAID_PREM_PAYMENT","'Average monthly TANF payments' X 'Enrolled in Medicaid premium payment plan'"
"TANF_PAYMENTS_X_MEDICAID_PAYER_CMAP","'Average monthly TANF payments' X 'Enrolled in RI Community Medication Assistance Program'"
